bab_key,bab_label,bab_number,question_no,question_text,option_a,option_b,option_c,option_d,correct_answer
bab_kalam,Bab Kalam – bab الكلام,2,9,"""وَالْقَوْلُ لَفْظٌ أَفَادَ مُطْلَقاً"" apa yang dimaksud ""أَفَادَ مُطْلَقاً"" di sini?",Memberi faedah hanya dalam kondisi tertentu,Memberi faedah secara mutlak (walau hanya satu kalimah),Memberi faedah hanya jika tersusun,Memberi faedah kepada pendengar saja,b
bab_kalam,Bab Kalam – bab الكلام,2,10,"""تَاءُ تَأْنِيثٍ مَعَ التَّسْكِيْن"" adalah salah satu tanda fiil. Ta' yang dimaksud ini adalah...",Ta' di awal fi'il mudhari',Ta' mutaharrikah di akhir isim,Ta' sukun yang menempel di akhir fi'il madhi sebagai tanda perempuan,Ta' fa'il yang berharakat,c
bab_irab,Bab I'rab – bab الإعراب,3,1,Apa definisi i'rab menurut ahli nahwu?,Harakat yang ada di tengah kata,Penambahan huruf di awal kalimah,"Berubahnya akhir kalimah karena pengaruh amil, baik secara lafaz maupun perkiraan",Pembuangan huruf di akhir kata,c
bab_irab,Bab I'rab – bab الإعراب,3,2,I'rab terbagi menjadi berapa macam?,Dua,Tiga,Empat,Lima,c
bab_irab,Bab I'rab – bab الإعراب,3,3,Urutan empat macam i'rab yang benar adalah...,"Nashab, Rafa', Jazm, Jer","Jer, Nashab, Rafa', Jazm","Rafa', Nashab, Jazm, Jer","Rafa', Jer, Nashab, Jazm",c
bab_irab,Bab I'rab – bab الإعراب,3,4,I'rab manakah yang tidak bisa masuk pada isim?,Rafa',Nashab,Jer,Jazm,d
bab_irab,Bab I'rab – bab الإعراب,3,5,I'rab manakah yang tidak bisa masuk pada fi'il?,Rafa',Nashab,Jazm,Jer/Khafadh,d
bab_irab,Bab I'rab – bab الإعراب,3,6,Isim yang tidak menyerupai huruf disebut...,Mabni,Maushul,Mu'rab,Mudhaf,c
bab_irab,Bab I'rab – bab الإعراب,3,7,Isim yang menyerupai huruf hukumnya adalah...,Mu'rab,Manshub,Mabni,Majrur,c
bab_irab,Bab I'rab – bab الإعراب,3,8,Fi'il mudhari' yang hukumnya mu'rab adalah yang...,Kemasukan nun taukid,Diakhiri alif tatsniyah,Sepi/terlepas dari nun taukid,Diawali huruf ta',c
bab_irab,Bab I'rab – bab الإعراب,3,9,"Apa yang dimaksud dengan i'rab ""تَقْدِيْرًا"" (taqdiiran)?",I'rab yang terlihat jelas di akhir kata,"I'rab yang tidak tampak di akhir kata, hanya diperkirakan",I'rab yang terjadi di tengah kata,I'rab yang berupa pembuangan huruf,b
bab_irab,Bab I'rab – bab الإعراب,3,10,Fi'il mudhari' yang kemasukan nun taukid hukumnya...,Mu'rab,Majzum,Mabni,Manshub,c
bab_alamat_irab,Bab Alamat I'rab – bab علامات الإعراب,4,1,Tanda-tanda i'rab rafa' ada berapa macam?,Tiga,Empat,Lima,Enam,b
bab_alamat_irab,Bab Alamat I'rab – bab علامات الإعراب,4,2,Sebutkan empat tanda i'rab rafa' yang benar!,"Fathah, alif, kasrah, ya'","Fathah, wawu, alif, nun","Dhammah, wawu, alif, nun","Dhammah, kasrah, ya', nun",c
bab_alamat_irab,Bab Alamat I'rab – bab علامات الإعراب,4,3,Tanda rafa' berupa ضَمَّة (dhammah) berlaku pada...,Jama' mudzakkar salim saja,Asma'ul khamsah saja,"Isim mufrad, jama' taksir, jama' mu'annats salim, dan fi'il mudhari'",Isim tatsniyah saja,c
bab_alamat_irab,Bab Alamat I'rab – bab علامات الإعراب,4,4,"""جَاءَ الصَّالِحُوْنَ"" — kata الصَّالِحُوْنَ adalah contoh rafa' dengan tanda...",Dhammah,Alif,Wawu,Nun,c
bab_alamat_irab,Bab Alamat I'rab – bab علامات الإعراب,4,5,Tanda rafa' berupa وَاو hanya berlaku pada...,Isim mufrad dan fi'il mudhari',Jama' mudzakkar salim dan asma'ul khamsah,Isim tatsniyah saja,Jama' taksir saja,b
bab_alamat_irab,Bab Alamat I'rab – bab علامات الإعراب,4,6,Asma'ul khamsah itu ada 5. Manakah yang bukan termasuk asma'ul khamsah?,أَبٌ,أَخٌ,حَمٌ,عَمٌّ,d
bab_alamat_irab,Bab Alamat I'rab – bab علامات الإعراب,4,7,"Agar asma'ul khamsah bisa dii'rab dengan wawu (saat rafa'), syaratnya adalah...",Harus berbentuk jama',Harus berupa fi'il,"Harus mudhaf, mufrad, dan mukabbar (bukan tasghir)",Harus diawali alif lam,c
bab_alamat_irab,Bab Alamat I'rab – bab علامات الإعراب,4,8,Tanda rafa' berupa أَلِf berlaku pada...,Jama' mudzakkar salim,Fi'il mudhari' af'alul khamsah,Isim tatsniyah,Asma'ul khamsah,c
bab_alamat_irab,Bab Alamat I'rab – bab علامات الإعراب,4,9,"""يَفْعَlaَنِ، تَفْعَlaَنِ، يَفْعَلُوْنَ، تَفْعَلُوْنَ، تَفْعَلِيْنَ"" — kelima bentuk fi'il ini dikenal dengan sebutan...",Af'alul mabni,Af'alul majzumah,Af'alul khamsah,Af'alul mu'tallah,c
bab_alamat_irab,Bab Alamat I'rab – bab علامات الإعراب,4,10,Tanda rafa' berupa نُوْن pada af'alul khamsah berarti nun tersebut...,Boleh dibuang,Hanya muncul saat jazm,Tetap ada (tidak dibuang) selama dalam keadaan rafa',Diganti dengan wawu,c
bab_alamat_nashob,Bab Alamat Nashob – bab علامات النصب,5,1,Tanda-tanda i'rab nashab ada berapa macam?,Empat,Lima,Enam,Tiga,b
bab_alamat_nashob,Bab Alamat Nashob – bab علامات النصب,5,2,Sebutkan kelima tanda nashab yang benar!,"Dhammah, wawu, alif, nun, kasrah","Fathah, alif, kasrah, ya', nun yang dibuang","Fathah, wawu, alif, ya', nun tetap","Kasrah, ya', alif, wawu, fathah",b
bab_alamat_nashob,Bab Alamat Nashob – bab علامات النصب,5,3,"Tanda nashab berupa فَتْحَة berlaku pada lafaz yang saat rafa'nya pakai dhammah, kecuali...",Isim mufrad,Jama' taksir,Fi'il mudhari',Jama' mu'annats salim,d
bab_alamat_nashob,Bab Alamat Nashob – bab علامات النصب,5,4,Mengapa jama' mu'annats salim tidak dinashabkan dengan fathah?,Karena ia termasuk isim mabni,Karena tidak menerima tanwin,"Karena tanda nashabnya adalah kasrah, bukan fathah",Karena dinashabkan dengan ya',c
bab_alamat_nashob,Bab Alamat Nashob – bab علامات النصب,5,5,Contoh nashab dengan كَسْرَة adalah pada...,Isim mufrad,Asma'ul khamsah,Jama' mu'annats salim (seperti: رَأَيْتُ هِنْدَاتٍ → هِنْدَاتٍ),Fi'il mudhari',c
bab_alamat_nashob,Bab Alamat Nashob – bab علامات النصب,5,6,Tanda nashab berupa أَلِف hanya berlaku pada...,Isim tatsniyah,Jama' mudzakkar salim,Asma'ul khamsah,Jama' taksir,c
bab_alamat_nashob,Bab Alamat Nashob – bab علامات النصب,5,7,"""رَأَيْتُ أَبَاكَ"" kata أَبَاكَ dinashabkan dengan tanda...",Fathah,Ya',Alif,Kasrah,c
bab_alamat_nashob,Bab Alamat Nashob – bab علامات النصب,5,8,"Tanda nashab berupa يَاء berlaku pada dua tempat, yaitu...",Isim mufrad dan jama' taksir,Isim tatsniyah dan jama' mudzakkar salim,Asma'ul khamsah dan isim mufrad,Jama' taksir dan fi'il mudhari',b
bab_alamat_nashob,Bab Alamat Nashob – bab علامات النصب,5,9,"Af'alul khamsah ketika nashab, tanda nashabnya adalah...",Fathah di akhir,Ya' di akhir,Kasrah di akhir,Membuang nun rafa',d
bab_alamat_nashob,Bab Alamat Nashob – bab علامات النصب,5,10,"""لَنْ يَفْعَlaَ"" fi'il ini termasuk af'alul khamsah yang dinashabkan. Tanda nashabnya terlihat dari...",Fathah di akhir,Alif yang muncul,Hilangnya nun yang sebelumnya ada saat rafa',Kasrah di akhir,c
bab_alamat_jer,Bab Alamat Jer – bab علامات الخفض,6,1,Tanda i'rab jer/khafadh ada berapa macam?,Dua,Tiga,Empat,Lima,b
bab_alamat_jer,Bab Alamat Jer – bab علامات الخفض,6,2,Sebutkan tiga tanda jer yang benar!,"Dhammah, wawu, alif","Fathah, alif, nun","Kasrah, ya', fathah","Kasrah, alif, nun",c
bab_alamat_jer,Bab Alamat Jer – bab علامات الخفض,6,3,Tanda jer berupa كَسْرَة berlaku pada isim yang...,Ghairu munsharif,Tidak menerima tanwin,Munsharif (menerima tanwin) dan tanda rafa'nya dengan dhammah,Termasuk asma'ul khamsah,c
bab_alamat_jer,Bab Alamat Jer – bab علامات الخفض,6,4,Tanda jer berupa فَتْحَة berlaku pada...,Semua isim munsharif,Isim tatsniyah,Isim ghairu munsharif,Jama' mu'annats salim,c
bab_alamat_jer,Bab Alamat Jer – bab علامات الخفض,6,5,Isim ghairu munsharif tidak menerima tanwin karena memiliki...,Alif lam di awalnya,Dlamir muttashil,"Dua illat, atau satu illat yang bernilai dua",Huruf illat di akhir,c
bab_alamat_jer,Bab Alamat Jer – bab علامات الخفض,6,6,"""أَلِفُ التَّأْنِيثِ"" dan ""صِيغَةُ مُنْتَهَى الجُمُوعِ"" termasuk illat yang...",Berpasangan (illat dua),Tidak mempengaruhi i'rab,Satu tetapi bernilai dua,Hanya berlaku pada fi'il,c
bab_alamat_jer,Bab Alamat Jer – bab علامات الخفض,6,7,Illat yang berpasangan bersama العَلَم (alam) ada tiga. Manakah yang bukan termasuknya?,Wazan fi'il,Tambahan alif nun,Sifat bersama 'adal,Alif ta'nits,d
bab_alamat_jer,Bab Alamat Jer – bab علامات الخفض,6,8,Isim ghairu munsharif bisa berubah menjadi munsharif jika...,Diawali huruf jer,Dibaca jazm,Dimudhafkan atau dimasuki alif lam (ال),Menjadi jama' taksir,c
bab_alamat_jer,Bab Alamat Jer – bab علامات الخفض,6,9,Tanda jer berupa يَاء berlaku pada lafaz yang saat nashabnya juga pakai ya'. Manakah contoh yang tepat?,أَحْمَدُ,مُسْلِمَاتٍ,أَبِيكَ (asma'ul khamsah),زَيْدٌ,c
bab_alamat_jer,Bab Alamat Jer – bab علامات الخفض,6,10,"""مَرَرْتُ بِأَحْمَدَ"" — kata أَحْمَدَ dijerkan dengan tanda fathah karena...",Termasuk asma'ul khamsah,Termasuk jama' taksir,Termasuk isim ghairu munsharif (ada illat: alam + wazan fi'il),Termasuk isim tatsniyah,c
bab_alamat_jazam,Bab Alamat Jazam – bab علامات الجزم,7,1,Tanda i'rab jazm ada berapa macam?,Dua,Tiga,Empat,Lima,b
bab_alamat_jazam,Bab Alamat Jazam – bab علامات الجزم,7,2,Tiga tanda jazm yang benar adalah...,"Fathah, kasrah, dhammah","Alif, wawu, ya'Sukun, membuang huruf illat, membuang nun rafa'","Kasrah, ya', membuang nun",,b
bab_alamat_jazam,Bab Alamat Jazam – bab علامات الجزم,7,3,Fi'il mudhari' yang huruf akhirnya shahih (bukan huruf illat) dijazmkan dengan tanda...,Fathah,Membuang huruf akhir,Sukun,Kasrah,c
bab_alamat_jazam,Bab Alamat Jazam – bab علامات الجزم,7,4,Fi'il mudhari' mu'tal akhir (akhirnya berupa huruf illat) dijazmkan dengan cara...,Memberi sukun di akhir,Memberi fathah di akhir,Membuang huruf illat,Memberi kasrah di akhir,c
bab_alamat_jazam,Bab Alamat Jazam – bab علامات الجزم,7,5,"""لَمْ يَغْزُ"" fi'il يَغْزُ asalnya يَغْزُو. Tanda jazmnya adalah...",Sukun,Kasrah,Membuang huruf illat (wawu),Fathah,c
bab_alamat_jazam,Bab Alamat Jazam – bab علامات الجزم,7,6,"Af'alul khamsah ketika jazm, tanda jazmnya adalah...",Sukun di akhir,Fathah di akhir,Kasrah di akhir,Membuang nun rafa',d
bab_alamat_jazam,Bab Alamat Jazam – bab علامات الجزم,7,7,"Isim mu'tal yang i'rabnya muqaddarah (dikira-kirakan) saat rafa', nashab, dan jer adalah...",Isim shahih,Isim manqush (mu'tal ya') dan isim maqshur (mu'tal alif),Isim tatsniyah,Jama' mudzakkar salim,b
bab_alamat_jazam,Bab Alamat Jazam – bab علامات الجزم,7,8,"Huruf illat yang bisa masuk pada isim ada dua, yaitu...",Wawu dan alif,Wawu dan ya',Ya' dan alif,Alif dan nun,c
bab_alamat_jazam,Bab Alamat Jazam – bab علامات الجزم,7,9,"""يَخْشَى"" adalah fi'il mu'tal alif. Nashabnya dengan...",Muqaddarah (dikira-kirakan),Fathah yang tampak jelas,Kasrah,Sukun,b
bab_alamat_jazam,Bab Alamat Jazam – bab علامات الجزم,7,10,"Isim manqush (mu'tal ya') ketika nashab, i'rabnya...",Muqaddarah,Sukun,Dlahir (tampak jelas),Kasrah,c
fasal,Fasal (Ringkasan I'rab) – فصل,8,1,"Kalimah mu'rab secara umum di-i'rabi dengan dua cara, yaitu...",Dengan harakat dan tanwin,Dengan harakat dan huruf,Dengan huruf dan sukun,Dengan tanwin dan alif lam,b
fasal,Fasal (Ringkasan I'rab) – فصل,8,2,Kalimah yang di-i'rabi dengan harakat ada berapa macam?,Tiga,Empat,Lima,Enam,b
fasal,Fasal (Ringkasan I'rab) – فصل,8,3,Kalimah yang di-i'rabi dengan huruf juga ada empat. Manakah yang bukan termasuknya?,Isim tatsniyah,Jama' mudzakkar salim,Asma'ul khamsah,Jama' taksir,d
fasal,Fasal (Ringkasan I'rab) – فصل,8,4,Isim tatsniyah ketika rafa' tanda i'rabnya adalah...,Dhammah,Alif,Wawu,Nun,b
fasal,Fasal (Ringkasan I'rab) – فصل,8,5,Isim tatsniyah ketika nashab dan jer tanda i'rabnya adalah...,Alif,Fathah,Ya',Kasrah,c
fasal,Fasal (Ringkasan I'rab) – فصل,8,6,Jama' mudzakkar salim ketika rafa' menggunakan tanda...,Alif,Nun,Wawu,Dhammah,c
fasal,Fasal (Ringkasan I'rab) – فصل,8,7,Asma'ul khamsah ketika nashab menggunakan tanda...,Ya',Wawu,Alif,Fathah,c
fasal,Fasal (Ringkasan I'rab) – فصل,8,8,Af'alul khamsah ketika rafa' menggunakan tanda...,Dhammah,Wawu,Nun,Alif,c
fasal,Fasal (Ringkasan I'rab) – فصل,8,9,"Af'alul khamsah ketika nashab dan jazm, tanda i'rabnya sama yaitu...",Fathah,Sukun,Membuang nun,Kasrah,c
fasal,Fasal (Ringkasan I'rab) – فصل,8,10,"Jama' mu'annats salim ketika nashab, tanda i'rabnya adalah...",Fathah,Ya',Alif,Kasrah,d
bab_makrifat_nakirah,Bab Makrifat dan Nakirah – bab المعرفة والنّكرة,9,1,Cara paling mudah mengenali isim nakirah adalah...,Isim yang tidak bisa dijerkan,Isim yang tidak bisa dijamakkan,Isim yang bisa menerima ال yang menjadikannya ma'rifat,Isim yang selalu bertanwin,c
bab_makrifat_nakirah,Bab Makrifat dan Nakirah – bab المعرفة والنّكرة,9,2,Isim ma'rifat terbagi menjadi berapa macam?,Empat,Lima,Enam,Tujuh,c
bab_makrifat_nakirah,Bab Makrifat dan Nakirah – bab المعرفة والنّكرة,9,3,Urutan isim ma'rifat yang benar dari nomor 1–6 adalah...,"Alam, dlamir, isyarah, mausul, ber-ال, mudhaf","Dlamir, alam, isyarah, mausul, ber-ال, mudhaf","Mausul, dlamir, alam, ber-ال, mudhaf, isyarah","Dlamir, isyarah, alam, mausul, ber-ال, mudhaf",b
bab_makrifat_nakirah,Bab Makrifat dan Nakirah – bab المعرفة والنّكرة,9,4,Isim dlamir adalah isim yang...,Selalu berharakat fathah,Selalu berupa kata benda,"Menggantikan isim zhahir, mencakup ghaib, hadhir, dan mutakallim",Selalu terpisah dari fi'ilnya,c
bab_makrifat_nakirah,Bab Makrifat dan Nakirah – bab المعرفة والنّكرة,9,5,"Dlamir muttashil terbagi menjadi dua, yaitu...",Zhahir dan muqaddar,Mustatir (tersembunyi) dan bariz (terang),Munfashil dan mabni,Muttashil dan mu'rab,b
bab_makrifat_nakirah,Bab Makrifat dan Nakirah – bab المعرفة والنّكرة,9,6,Alam laqab adalah alam yang mengandung...,Nama tempat atau waktu,Nama keturunan,Pujian atau cacian,Kata abu atau ummu,c
bab_makrifat_nakirah,Bab Makrifat dan Nakirah – bab المعرفة والنّكرة,9,7,Isim ma'rifat ketiga adalah isim isyarah. Manakah contoh isim isyarah di bawah ini?,الَّذِي,هُوَ,ذَا,أَحْمَدُ,c
bab_makrifat_nakirah,Bab Makrifat dan Nakirah – bab المعرفة والنّكرة,9,8,"""الَّذِي"" termasuk jenis isim ma'rifat yang ke...",Tiga,Empat (isim mausul),Lima,Enam,b
bab_makrifat_nakirah,Bab Makrifat dan Nakirah – bab المعرفة والنّكرة,9,9,Isim ma'rifat keenam adalah isim yang dimudhafkan kepada salah satu isim ma'rifat. Manakah contoh yang benar?,كِتَابٌ,رَجُلٌ,ابْنِي (mudhaf kepada dlamir),فَتًى,c
bab_makrifat_nakirah,Bab Makrifat dan Nakirah – bab المعرفة والنّكرة,9,10,Alam kun-yah adalah alam yang diawali dengan kata...,Ibnu atau bintu,أَبُو/أَبِي atau أُمُّ,Syaikh atau sayyid,Abdul atau habib,b
bab_fiil_fiil,Bab Fiil-fiil – bab الأفعال,10,1,"Menurut ilmu Nahwu, fi'il terbagi menjadi berapa macam?",Dua,Tiga,Empat,Lima,b
bab_fiil_fiil,Bab Fiil-fiil – bab الأفعال,10,2,Tiga macam fi'il yang benar adalah...,"Shahih, mu'tal, mabni","Mufrad, tatsniyah, jama'","Madhi, amar, mudhari'","Lazim, mudhari'",c
bab_fiil_fiil,Bab Fiil-fiil – bab الأفعال,10,3,Fi'il madhi huruf akhir selalu dibaca...,Dhammah,Kasrah,Sukun,Fathah (jika tidak bertemu dlamir mutaharrik yang rafa'),d
bab_fiil_fiil,Bab Fiil-fiil – bab الأفعال,10,4,Jika fi'il madhi bertemu dengan wawu jama' maka huruf sebelum wawu dibaca...,Fathah,Kasrah,Sukun,Dhammah,d
bab_fiil_fiil,Bab Fiil-fiil – bab الأفعال,10,5,Fi'il amar dimabnikan di atas tiga hal. Manakah yang bukan termasuknya?,Sukun,Membuang huruf illat,Membuang nun,Fathah,d
bab_fiil_fiil,Bab Fiil-fiil – bab الأفعال,10,6,Empat huruf zaidah yang mengawali fi'il mudhari' terhimpun dalam lafaz...,يَفْعَلُ,سَأَلْتُ,أَنَيْتُ يَافَتَى,نَصَرَ,c
bab_fiil_fiil,Bab Fiil-fiil – bab الأفعال,10,7,"Jika fi'il mudhari' berbentuk ruba'iy (empat huruf asal), huruf mudlara'ahnya dibaca...",Fathah,Kasrah,Sukun,Dhammah,d
bab_fiil_fiil,Bab Fiil-fiil – bab الأفعال,10,8,"Jika fi'il mudhari' bukan ruba'iy, huruf mudlara'ahnya dibaca...",Dhammah,Kasrah,Fathah,Sukun,c
bab_fiil_fiil,Bab Fiil-fiil – bab الأفعال,10,9,"""أَكْرَمَ"" adalah fi'il madhi ruba'iy. Maka fi'il mudhari'nya ""يُكْرِمُ"" huruf mudlara'ahnya (ي) dibaca...",Fathah,Kasrah,Dhammah,Sukun,c
bab_fiil_fiil,Bab Fiil-fiil – bab الأفعال,10,10,"Fi'il madhi bertemu dengan dlamir rafa' mutaharrik, maka huruf akhirnya dibaca...",Fathah,Dhammah,Sukun,Kasrah,c
bab_irab_fiil,Bab I'rab Fiil – bab إعراب الفعل,11,1,Fi'il mudhari' yang sepi dari amil nashab dan jazm hukumnya...,Mabni,Majzum,Rafa' selamanya,Manshub,c
bab_irab_fiil,Bab I'rab Fiil – bab إعراب الفعل,11,2,Amil yang menashabkan fi'il mudhari' ada berapa?,Lima,Tujuh,Sepuluh,Dua belas,c
bab_irab_fiil,Bab I'rab Fiil – bab إعراب الفعل,11,3,Manakah yang bukan termasuk amil nashab fi'il mudhari'?,أَنْ,لَنْ,كَيْ,لَمْ,d
bab_irab_fiil,Bab I'rab Fiil – bab إعراب الفعل,11,4,"""لَنْ أَذْهَبَ"" fi'il أَذْهَبَ dinashabkan oleh amil...",أَنْ,كَيْ,لَنْ,حَتَّى,c
bab_irab_fiil,Bab I'rab Fiil – bab إعراب الفعل,11,5,Amil yang menjazmkan fi'il mudhari' dalam satu fi'il (bukan syarat jawab) adalah...,أَنْ dan لَنْ,كَيْ dan حَتَّى,لَمْ، لَمَّا، لَا (nahi)، lam thalab,إِنْ dan مَا,c
bab_irab_fiil,Bab I'rab Fiil – bab إعراب الفعل,11,6,Adawat syarat yang menjazmkan dua fi'il ada banyak. Manakah yang bukan termasuknya?,إِنْ,مَنْ,مَتَى,لَنْ,d
bab_irab_fiil,Bab I'rab Fiil – bab إعراب الفعل,11,7,"""وَاوُ الجَوَابِ"" dan ""فَاءُ الجَوَابِ"" menashabkan fi'il mudhari' jika setelah...",Fi'il madhi,Isim ma'rifat,Kalimat manfi atau thalab (amar/nahi),Isim nakirah,c
bab_irab_fiil,Bab I'rab Fiil – bab إعراب الفعل,11,8,"""إِنْ يَقُمْ زَيْدٌ وَعَمْرٌو قُمْنَا"" fi'il يَقُمْ dijazmkan karena...",Didahului لَمْ,Didahului لَنْ,Didahului adawat syarat إِنْ,Didahului لَا nahi,c
bab_irab_fiil,Bab I'rab Fiil – bab إعراب الفعل,11,9,"Jika jawab syarat tidak bisa dijadikan syarat (tidak sah), maka wajib dimasuki...",Wawu jama',Lam jazm,Fa' jawab (فَاء الجَوَاب),Nun taukid,c
bab_irab_fiil,Bab I'rab Fiil – bab إعراب الفعل,11,10,Fi'il mudhari' yang kemasukan لَمْ hukumnya...,Manshub,Marfu',Mabni,Majzum,d
bab_isim_yang_dibaca_rafa,Bab Isim yang dibaca Rafa' – bab مرفوعات الأسماء,12,1,Isim-isim yang dirafa'kan dalam ilmu Nahwu ada berapa macam?,Lima,Enam,Tujuh,Delapan,c
bab_isim_yang_dibaca_rafa,Bab Isim yang dibaca Rafa' – bab مرفوعات الأسماء,12,2,Definisi fa'il adalah...,Isim yang jatuh setelah khabar,Isim yang dijerkan oleh huruf jer,"Isim yang dirafa'kan oleh fi'ilnya, dan fi'il itu terletak sebelumnya",Isim yang menggantikan fa'il yang dibuang,c
bab_isim_yang_dibaca_rafa,Bab Isim yang dibaca Rafa' – bab مرفوعات الأسماء,12,3,"Jika fa'il berupa jama' atau tatsniyah, fi'ilnya wajib dalam bentuk...",Jama',Tatsniyah,Mufrad,Mengikuti bentuk fa'il,c
bab_isim_yang_dibaca_rafa,Bab Isim yang dibaca Rafa' – bab مرفوعات الأسماء,12,4,"""جَاءَ Zَيْدَانِ"" fi'il جَاءَ tetap dalam bentuk mufrad meskipun fa'ilnya tatsniyah. Ini berlaku karena...",Fi'il tidak boleh berubah,Tatsniyah adalah jama',Fi'il wajib sepi dari tanda tatsniyah/jama' jika fa'ilnya tatsniyah/jama',Fi'il di sini adalah fi'il mabni,c
bab_isim_yang_dibaca_rafa,Bab Isim yang dibaca Rafa' – bab مرفوعات الأسماء,12,5,"Fa'il terbagi menjadi duo bagian, yaitu...",Mustatir dan bariz,Isim zhahir dan isim dlamir,Muttashil dan munfashil,Mu'rab dan mabni,b
bab_isim_yang_dibaca_rafa,Bab Isim yang dibaca Rafa' – bab مرفوعات الأسماء,12,6,Dlamir fa'il yang muttashil ada berapa macam?,Sepuluh,Dua belas,Empat belas,Enam,b
